0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:07 +0800] "POST /yycgptproject/loginSubmit.action HTTP/1.1" 200 5651
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:07 +0800] "GET /yycgptproject/validatecode.jsp?time1512971107696 HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:14 +0800] "POST /yycgptproject/loginSubmit.action HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:14 +0800] "GET /yycgptproject/js/easyui/themes/default/images/messager_success.gif HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:15 +0800] "GET /yycgptproject/first.action HTTP/1.1" 200 5168
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:16 +0800] "POST /yycgptproject/menu.json HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:16 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:16 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:45:16 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:49:40 +0800] "GET /yycgptproject/login.action HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:49:40 +0800] "GET /yycgptproject/validatecode.jsp HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:49:59 +0800] "POST /yycgptproject/loginSubmit.action HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:50:00 +0800] "GET /yycgptproject/first.action HTTP/1.1" 200 5168
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:50:01 +0800] "POST /yycgptproject/menu.json HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:50:01 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:50:01 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:50:01 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:52:52 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:53:05 +0800] "GET /yycgptproject/login.action HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:53:05 +0800] "GET /yycgptproject/validatecode.jsp HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:53:30 +0800] "POST /yycgptproject/loginSubmit.action HTTP/1.1" 200 5651
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:53:30 +0800] "GET /yycgptproject/validatecode.jsp?time1512971610171 HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:53:38 +0800] "POST /yycgptproject/loginSubmit.action HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:53:41 +0800] "GET /yycgptproject/first.action HTTP/1.1" 200 5168
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:53:41 +0800] "POST /yycgptproject/menu.json HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:53:41 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:53:41 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_close.gif HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/user/queryuser.action HTTP/1.1" 200 8262
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/js/easyui/themes/default/images/datagrid_header_bg.gif HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/js/easyui/themes/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_first.gif HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_prev.gif HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_next.gif HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_last.gif HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_load.png HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/js/easyui/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/user/images/loading2.gif HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "GET /yycgptproject/js/easyui/themes/default/images/button_plain_hover.png HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:54:51 +0800] "POST /yycgptproject/user/queryuser_result.action HTTP/1.1" 200 4777
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:06 +0800] "GET /yycgptproject/first.action HTTP/1.1" 200 5168
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:06 +0800] "POST /yycgptproject/menu.json HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:06 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:06 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:06 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:09 +0800] "GET /yycgptproject/user/queryuser.action HTTP/1.1" 200 8262
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:09 +0800] "GET /yycgptproject/user/queryuser.action HTTP/1.1" 200 8262
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:09 +0800] "POST /yycgptproject/user/queryuser_result.action HTTP/1.1" 200 4777
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:18 +0800] "GET /yycgptproject/login.action HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:18 +0800] "GET /yycgptproject/validatecode.jsp HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:35 +0800] "POST /yycgptproject/loginSubmit.action HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:36 +0800] "GET /yycgptproject/first.action HTTP/1.1" 200 5168
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:36 +0800] "POST /yycgptproject/menu.json HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:36 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:36 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:36 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:54 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:55:54 +0800] "GET /yycgptproject/images/welcome.gif HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/login.action HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/styles/style.css HTTP/1.1" 200 4303
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/styles/login.css HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/easyui/themes/icon.css HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/jquery.form.min.js HTTP/1.1" 200 14618
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/easyui/themes/default/easyui.css HTTP/1.1" 200 27748
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/custom.jquery.form.js HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/custom.box.main.js HTTP/1.1" 200 15698
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/jquery.ajax.custom.extend.js HTTP/1.1" 200 9230
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/jquery-1.4.4.min.js HTTP/1.1" 200 78601
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/menuload.js HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/WdatePicker.js HTTP/1.1" 200 7415
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/jqueryvalidator/formValidatorRegex.js HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/jqueryvalidator/formValidator-4.1.3.js HTTP/1.1" 200 47734
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/easyui/jquery.easyui.min.1.2.2.js HTTP/1.1" 200 236999
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/images/login/bg2.png HTTP/1.1" 200 340657
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/validatecode.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/images/login/bg1.jpg HTTP/1.1" 200 14802
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/images/login/btnbg.jpg HTTP/1.1" 200 16190
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/jqueryvalidator/themes/Default/js/theme.js HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/jqueryvalidator/themes/Default/style/style.css HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/images/loading2.gif HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/My97DatePicker.htm HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/config.js HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/calendar.js HTTP/1.1" 200 22088
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/lang/zh-cn.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/datepicker.css HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/bg.gif HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/navLeft.gif HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/right.gif HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/qs.jpg HTTP/1.1" 200 10720
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/left.gif HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:58:55 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/navRight.gif HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [11/Dec/2017:13:59:13 +0800] "GET /yycgptproject/images/loading2.gif HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:45 +0800] "POST /yycgptproject/loginSubmit.action HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:45 +0800] "GET /yycgptproject/js/easyui/themes/default/images/panel_title.png HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:45 +0800] "GET /yycgptproject/js/easyui/themes/default/images/panel_tools.gif HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:45 +0800] "GET /yycgptproject/js/easyui/themes/default/images/messager_success.gif HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:45 +0800] "GET /yycgptproject/js/easyui/themes/default/images/button_span_bg.gif HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:45 +0800] "GET /yycgptproject/js/easyui/themes/default/images/button_a_bg.gif HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/first.action HTTP/1.1" 200 5168
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/easyui/styles/default.css HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/styles/style.css HTTP/1.1" 200 4303
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/easyui/themes/icon.css HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/easyui/themes/default/easyui.css HTTP/1.1" 200 27748
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/formvalidator/style/validator.css HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/jquery.form.min.js HTTP/1.1" 200 14618
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/custom.jquery.form.js HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/custom.box.main.js HTTP/1.1" 200 15698
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/jquery.ajax.custom.extend.js HTTP/1.1" 200 9230
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/menuload.js HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/jquery-1.4.4.min.js HTTP/1.1" 200 78601
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/My97DatePicker/WdatePicker.js HTTP/1.1" 200 7415
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/jqueryvalidator/formValidatorRegex.js HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [11/Dec/2017:14:05:47 +0800] "GET /yycgptproject/js/jqueryvalidator/formValidator-4.1.3.js HTTP/1.1" 200 47734
