0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:13 +0800] "GET /yycgptproject/js/My97DatePicker/skin/whyGreen/navLeft.gif HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:53 +0800] "POST /yycgptproject/loginSubmit.action HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:53 +0800] "GET /yycgptproject/js/easyui/themes/default/images/panel_title.png HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:53 +0800] "GET /yycgptproject/js/easyui/themes/default/images/button_span_bg.gif HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:53 +0800] "GET /yycgptproject/js/easyui/themes/default/images/button_a_bg.gif HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:53 +0800] "GET /yycgptproject/js/easyui/themes/default/images/panel_tools.gif HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:53 +0800] "GET /yycgptproject/js/easyui/themes/default/images/messager_success.gif HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/first.action HTTP/1.1" 200 5516
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/js/easyui/styles/default.css HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/dwr/interface/dwrService.js HTTP/1.1" 200 6025
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/js/formvalidator/style/validator.css HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/dwr/engine.js HTTP/1.1" 200 67343
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/dwr/util.js HTTP/1.1" 200 46704
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/images/blocks.gif HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "POST /yycgptproject/dwr/call/plaincall/__System.pageLoaded.dwr HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/images/layout-browser-hd-bg.gif HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/js/easyui/themes/default/images/layout_button_left.gif HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_rightarrow.png HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_leftarrow.png HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "POST /yycgptproject/menu.json HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_enabled.png HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_active.png HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/js/easyui/themes/default/images/accordion_expand.png HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/js/easyui/themes/default/images/accordion_collapse.png HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:54 +0800] "GET /yycgptproject/js/easyui/images/tabicons.png HTTP/1.1" 200 298830
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:55 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:55 +0800] "GET /yycgptproject/welcome.action HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:55 +0800] "GET /yycgptproject/images/welcome.gif HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:50:55 +0800] "GET /yycgptproject/styles/SystemStyle.css HTTP/1.1" 200 12439
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/js/easyui/themes/default/images/tabs_close.gif HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/user/queryuser.action HTTP/1.1" 200 8926
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/dwr/interface/dwrService.js HTTP/1.1" 200 6025
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/dwr/engine.js HTTP/1.1" 200 67343
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/dwr/util.js HTTP/1.1" 200 46704
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "POST /yycgptproject/dwr/call/plaincall/__System.pageLoaded.dwr HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/js/easyui/themes/default/images/datagrid_header_bg.gif HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/js/easyui/themes/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_first.gif HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_prev.gif HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_last.gif HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_next.gif HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [09/Jan/2018:18:51:21 +0800] "GET /yycgptproject/js/easyui/themes/default/images/pagination_load.png HTTP/1.1" 200 827
